name,iso_code,latittude,longitude
"Andorra la Vella",AD-07,NULL,NULL
"Canillo",AD-02,NULL,NULL
"Encamp",AD-03,NULL,NULL
"Escaldes-Engordany",AD-08,NULL,NULL
"La Massana",AD-04,NULL,NULL
"Ordino",AD-05,NULL,NULL
"Sant Julia de Loria",AD-06,42.46503100000,1.49106400000
"Abu Dhabi",AE-01,NULL,NULL
"Ajman",AE-02,25.41222000000,55.43473800000
"Dubai",AE-03,NULL,NULL
"Fujairah",AE-04,NULL,NULL
"Ras Al Khaimah",AE-05,NULL,NULL
"Sharjah",AE-06,NULL,NULL
"Umm Al Quwain",AE-07,NULL,NULL
"Badakhshan",AF-01,36.96213400000,72.48409000000
"Badghis",AF-02,35.26769700000,63.88498000000
"Baghlan",AF-03,36.12760000000,68.68910000000
"Balkh",AF-30,36.75970000000,66.88970000000
"Bamian",AF-05,NULL,NULL
"Farah",AF-06,32.37540000000,62.11230000000
"Faryab",AF-07,36.18640500000,64.84962400000
"Ghazni",AF-08,33.55330000000,68.42600000000
"Ghowr",AF-09,34.15485400000,64.90566800000
"Helmand",AF-10,31.79148900000,64.56520800000
"Herat",AF-11,NULL,NULL
"Jowzjan",AF-31,36.70109400000,65.96080000000
"Kabol",AF-13,NULL,NULL
"Kandahar",AF-23,NULL,NULL
"Kapisa",AF-14,34.87102700000,69.72943300000
"Khowst",AF-37,33.33940000000,69.91480000000
"Konar",AF-15,35.02577400000,71.17078400000
"Kondoz",AF-24,NULL,NULL
"Laghman",AF-16,34.79674800000,70.31178200000
"Lowgar",AF-17,33.94363800000,69.20436600000
"Nangarhar",AF-18,NULL,NULL
"Nimruz",AF-19,30.80113200000,62.21204400000
"Nurestan",AF-38,34.93742000000,70.37568700000
"Oruzgan",AF-20,32.93021000000,66.63642900000
"Paktia",AF-21,33.68246600000,69.48192800000
"Paktika",AF-29,32.49314700000,68.76484500000
"Parvan",AF-22,NULL,NULL
"Samangan",AF-32,35.93503500000,67.89899800000
"Sar-e Pol",AF-33,NULL,NULL
"Takhar",AF-26,NULL,NULL
"Vardak",AF-27,34.19443000000,68.27050900000
"Zabol",AF-28,32.24809900000,67.18359800000
"Barbuda",AG-01,17.63709900000,-61.80959300000
"Saint George",AG-03,NULL,NULL
"Saint John",AG-04,NULL,NULL
"Saint Mary",AG-05,NULL,NULL
"Saint Paul",AG-06,NULL,NULL
"Saint Peter",AG-07,NULL,NULL
"Saint Philip",AG-08,NULL,NULL
"Berat",AL-40,40.70749500000,19.97228200000
"Diber",AL-41,NULL,NULL
"Durres",AL-42,41.33083100000,19.44290200000
"Elbasan",AL-43,NULL,NULL
"Fier",AL-44,NULL,NULL
"Gjirokaster",AL-45,40.07596500000,20.15065400000
"Korce",AL-46,40.62300100000,20.78523900000
"Kukes",AL-47,42.06532600000,20.44038400000
"Lezhe",AL-48,NULL,NULL
"Shkoder",AL-49,42.06625100000,19.52299700000
"Tirane",AL-50,NULL,NULL
"Vlore",AL-51,40.47366200000,19.48841100000
"Aragatsotn",AM-01,NULL,NULL
"Ararat",AM-02,NULL,NULL
"Armavir",AM-03,NULL,NULL
"Geghark'unik'",AM-04,NULL,NULL
"Kotayk'",AM-05,NULL,NULL
"Lorri",AM-06,NULL,NULL
"Shirak",AM-07,NULL,NULL
"Syunik'",AM-08,NULL,NULL
"Tavush",AM-09,NULL,NULL
"Vayots' Dzor",AM-10,NULL,NULL
"Yerevan",AM-11,NULL,NULL
"Bengo",AO-19,-9.01666600000,13.92000300000
"Benguela",AO-01,NULL,NULL
"Bie",AO-02,-12.40000000000,17.43190000000
"Cabinda",AO-03,-5.56160000000,12.18500000000
"Cuando Cubango",AO-04,-15.95284000000,19.75960400000
"Cuanza Norte",AO-05,-8.85000000000,14.92500000000
"Cuanza Sul",AO-06,NULL,NULL
"Cunene",AO-07,-16.31648100000,15.28353000000
"Huambo",AO-08,-12.76770000000,15.73800000000
"Huila",AO-09,NULL,NULL
"Luanda",AO-20,-8.81350000000,13.23190000000
"Lunda Norte",AO-17,NULL,NULL
"Lunda Sul",AO-18,-9.95833300000,20.38926500000
"Malanje",AO-12,NULL,NULL
"Moxico",AO-14,-11.85000000000,20.03333300000
"Uige",AO-15,-7.60277800000,15.02775000000
"Zaire",AO-16,NULL,NULL
"Buenos Aires",AR-01,NULL,NULL
"Catamarca",AR-02,NULL,NULL
"Chaco",AR-03,NULL,NULL
"Chubut",AR-04,NULL,NULL
"Cordoba",AR-05,NULL,NULL
"Corrientes",AR-06,NULL,NULL
"Distrito Federal",AR-07,NULL,NULL
"Entre Rios",AR-08,NULL,NULL
"Formosa",AR-09,NULL,NULL
"Jujuy",AR-10,NULL,NULL
"La Pampa",AR-11,NULL,NULL
"La Rioja",AR-12,NULL,NULL
"Mendoza",AR-13,NULL,NULL
"Misiones",AR-14,NULL,NULL
"Neuquen",AR-15,NULL,NULL
"Rio Negro",AR-16,NULL,NULL
"Salta",AR-17,NULL,NULL
"San Juan",AR-18,NULL,NULL
"San Luis",AR-19,NULL,NULL
"Santa Cruz",AR-20,NULL,NULL
"Santa Fe",AR-21,NULL,NULL
"Santiago del Estero",AR-22,NULL,NULL
"Tierra del Fuego",AR-23,NULL,NULL
"Tucuman",AR-24,NULL,NULL
"Burgenland",AT-01,NULL,NULL
"Karnten",AT-02,NULL,NULL
"Niederosterreich",AT-03,NULL,NULL
"Oberosterreich",AT-04,NULL,NULL
"Salzburg",AT-05,NULL,NULL
"Steiermark",AT-06,NULL,NULL
"Tirol",AT-07,NULL,NULL
"Vorarlberg",AT-08,NULL,NULL
"Wien",AT-09,NULL,NULL
"Australian Capital Territory",AU-01,NULL,NULL
"New South Wales",AU-02,NULL,NULL
"Northern Territory",AU-03,NULL,NULL
"Queensland",AU-04,NULL,NULL
"South Australia",AU-05,NULL,NULL
"Tasmania",AU-06,NULL,NULL
"Victoria",AU-07,NULL,NULL
"Western Australia",AU-08,NULL,NULL
"Abseron",AZ-01,NULL,NULL
"Agcabadi",AZ-02,NULL,NULL
"Agdam",AZ-03,39.98370000000,46.92861200000
"Agdas",AZ-04,NULL,NULL
"Agstafa",AZ-05,NULL,NULL
"Agsu",AZ-06,NULL,NULL
"Ali Bayramli",AZ-07,NULL,NULL
"Astara",AZ-08,38.44000000000,48.87520000000
"Baki",AZ-09,NULL,NULL
"Balakan",AZ-10,NULL,NULL
"Barda",AZ-11,40.38316000000,47.11862200000
"Beylaqan",AZ-12,NULL,NULL
"Bilasuvar",AZ-13,NULL,NULL
"Cabrayil",AZ-14,NULL,NULL
"Calilabad",AZ-15,NULL,NULL
"Daskasan",AZ-16,NULL,NULL
"Davaci",AZ-17,NULL,NULL
"Fuzuli",AZ-18,NULL,NULL
"Gadabay",AZ-19,NULL,NULL
"Ganca",AZ-20,NULL,NULL
"Goranboy",AZ-21,NULL,NULL
"Goycay",AZ-22,NULL,NULL
"Haciqabul",AZ-23,NULL,NULL
"Imisli",AZ-24,NULL,NULL
"Ismayilli",AZ-25,NULL,NULL
"Kalbacar",AZ-26,NULL,NULL
"Kurdamir",AZ-27,NULL,NULL
"Lacin",AZ-28,NULL,NULL
"Lankaran",AZ-29,NULL,NULL
"Lerik",AZ-31,38.76685000000,48.40573100000
"Masalli",AZ-32,NULL,NULL
"Mingacevir",AZ-33,NULL,NULL
"Naftalan",AZ-34,NULL,NULL
"Naxcivan",AZ-35,NULL,NULL
"Neftcala",AZ-36,NULL,NULL
"Oguz",AZ-37,NULL,NULL
"Qabala",AZ-38,NULL,NULL
"Qax",AZ-39,NULL,NULL
"Qazax",AZ-40,NULL,NULL
"Qobustan",AZ-41,NULL,NULL
"Quba",AZ-42,NULL,NULL
"Qubadli",AZ-43,NULL,NULL
"Qusar",AZ-44,NULL,NULL
"Saatli",AZ-45,NULL,NULL
"Sabirabad",AZ-46,40.00521100000,48.47193100000
"Saki",AZ-47,NULL,NULL
"Salyan",AZ-49,NULL,NULL
"Samaxi",AZ-50,NULL,NULL
"Samkir",AZ-51,NULL,NULL
"Samux",AZ-52,NULL,NULL
"Siyazan",AZ-53,NULL,NULL
"Sumqayit",AZ-54,NULL,NULL
"Susa",AZ-55,NULL,NULL
"Tartar",AZ-57,NULL,NULL
"Tovuz",AZ-58,NULL,NULL
"Ucar",AZ-59,NULL,NULL
"Xacmaz",AZ-60,NULL,NULL
"Xankandi",AZ-61,39.81235100000,46.75167100000
"Xanlar",AZ-62,NULL,NULL
"Xizi",AZ-63,NULL,NULL
"Xocali",AZ-64,NULL,NULL
"Xocavand",AZ-65,NULL,NULL
"Yardimli",AZ-66,NULL,NULL
"Yevlax",AZ-67,NULL,NULL
"Zangilan",AZ-69,NULL,NULL
"Zaqatala",AZ-70,NULL,NULL
"Zardab",AZ-71,NULL,NULL
"Federation of Bosnia and Herzegovina",BA-01,NULL,NULL
"Republika Srpska",BA-02,NULL,NULL
"Christ Church",BB-01,NULL,NULL
"Saint Andrew",BB-02,NULL,NULL
"Saint George",BB-03,NULL,NULL
"Saint James",BB-04,NULL,NULL
"Saint John",BB-05,NULL,NULL
"Saint Joseph",BB-06,13.20232000000,-59.52676000000
"Saint Lucy",BB-07,NULL,NULL
"Saint Michael",BB-08,NULL,NULL
"Saint Peter",BB-09,NULL,NULL
"Saint Philip",BB-10,NULL,NULL
"Saint Thomas",BB-11,NULL,NULL
"Bagerhat",BD-22,22.65707000000,89.80368000000
"Bandarban",BD-04,22.16190000000,92.18030000000
"Barguna",BD-25,NULL,NULL
"Barisal",BD-01,22.40071200000,90.42992000000
"Bhola",BD-23,22.67948900000,90.64391300000
"Bogra",BD-24,24.84440000000,89.37840000000
"Brahmanbaria",BD-26,NULL,NULL
"Chandpur",BD-27,23.22230900000,90.65051300000
"Chapai Nawabganj",BD-28,NULL,NULL
"Chattagram",BD-29,NULL,NULL
"Chuadanga",BD-30,23.64077900000,88.68547800000
"Comilla",BD-05,23.43580000000,91.18900000000
"Cox's Bazar",BD-31,NULL,NULL
"Dhaka",BD-32,23.70548000000,90.41129500000
"Dinajpur",BD-33,25.62550000000,88.64040000000
"Faridpur",BD-34,23.44035900000,89.51273300000
"Feni",BD-35,22.99185900000,91.38970200000
"Gaibandha",BD-36,NULL,NULL
"Gazipur",BD-37,22.43000000000,89.18000000000
"Gopalganj",BD-38,NULL,NULL
"Habiganj",BD-39,24.37978900000,91.40908800000
"Jaipurhat",BD-40,NULL,NULL
"Jamalpur",BD-41,24.91620000000,89.94260000000
"Jessore",BD-42,23.18330000000,89.16660000000
"Jhalakati",BD-43,NULL,NULL
"Jhenaidah",BD-44,NULL,NULL
"Khagrachari",BD-45,NULL,NULL
"Khulna",BD-46,22.91209800000,89.27950700000
"Kishorganj",BD-47,24.42580000000,90.78460000000
"Kurigram",BD-48,NULL,NULL
"Kushtia",BD-49,23.93450000000,88.99360000000
