some_id,name,alternative_names,latitude,longitude,iso_alpha_2,region_id,population
1682618,Taysan,Taysan,13.8697,121.0971,PH,40,5296
1682649,Tayaman,Tayaman,13.2295,120.5726,PH,41,5050
1682659,Tayabas,Tayabas,14.0259,121.5929,PH,40,37330
1682787,Tartaro,"Taltaro,Tartaro",15.16667,121.01667,PH,3,5231
1682812,Tarlac City,"Tarlac,Tarlac City",15.48017,120.59794,PH,3,183930
1682913,Tapon,Tapon,10.0631,123.4453,PH,7,5245
1682934,Tapilon,"Tablon,Tapilon",11.2774,124.0306,PH,7,7786
1683013,Tanza,Tanza,14.6753,120.9389,PH,NCR,105510
1683037,Tantangan,Tantangan,6.615,124.74889,PH,11,10337
1683088,Tanjay,"Kota Tanjay,Tanjay,Tanjay City,Tanjay Lakanbalen",9.5162,123.158,PH,NIR,39151
1683116,Tangub,"Tangob,Tangub,Tangub City",8.0618,123.7477,PH,10,29721
1683302,Tandag,"Dakbayan sa Tandag,Kota Tandag,Lungsod ng Tandag,TDG,Tandag,Tandag City,Tandag Lakanbalen,tandag,تانداگ",9.07833,126.19861,PH,13,29011
1683319,Tanay,Tanay,14.4968,121.2846,PH,40,59950
1683340,Tanauan,"Kota Tanauan,Tanauan City,Tanauan Lakanbalen",14.08627,121.14975,PH,40,68456
1683342,Tanauan,Tanauan,11.10944,125.01556,PH,8,16567
1683385,Tamugan,Tamugan,7.23083,125.37639,PH,11,8291
1683430,Tampakan,"Tampacan,Tampakan",6.44417,124.92639,PH,12,9048
1683433,Tampakan,"Tampacan,Tampakan",4.92278,119.79389,PH,14,8306
1683447,Tamontaka,Tamontaca,7.18056,124.22556,PH,12,5166
1683456,Tamnag,Tamnag,6.56778,124.85056,PH,12,6302
1683506,Tambulig,"Tambuig,Tambulig",8.0702,123.5348,PH,9,7488
1683663,Tamayo,Tamayo,15.87746,120.28455,PH,1,5767
1683701,Talusan,,7.42667,122.81028,PH,9,5783
1683713,Taluksangay,,6.95417,122.18389,PH,9,7343
1683718,Talugtug,"San Isidro,Talogtog,Talugtog,Talugtogbalite,Talugtug,Talugtug-bali",15.7778,120.8111,PH,3,6307
1683733,Taltal,Taltal,15.5878,119.9455,PH,3,5370
1683800,Taloc,"Taloc,Taluc",10.5746,122.8954,PH,NIR,20409
1683856,Talisayan,,6.98722,121.92722,PH,9,5445
1683859,Talisay,Talisay,14.1343,122.9226,PH,5,7544
1683860,Talisay,Talisay,14.0925,121.02194,PH,40,24969
1683865,Talisay,Talisay,13.18056,122.62361,PH,40,5141
1683877,Talisay,Talisay,10.7375,122.9666,PH,NIR,65265
1683881,Talisay,"Ciudad ti Talisay,Talisay,Talisay City,tarisai,タリサイ",10.24472,123.84944,PH,7,133148
1683949,Taligaman,,8.90444,125.65583,PH,13,7430
1683961,Talibon,,10.14917,124.325,PH,7,11209
1684016,Talavera,"Talavera,Талавера",15.5883,120.9192,PH,3,64610
1684086,Talakag,"Talacag,Talakag",8.23361,124.60028,PH,10,7860
1684137,Talacogon,,8.45611,125.78417,PH,13,15581
1684154,Talaban,Talaban,10.1254,122.8671,PH,NIR,6003
1684210,Tajao,"Tahao,Tajao,Tanaw",10.3148,123.5835,PH,7,5394
1684269,Magugpo,"Kota Tagum,Magugpo,Tagum,Tagum City,Tagum Lakanbalen,Taum,Taúm,tagum,tagwm,تاگوم,타굼",7.4475,125.8046,PH,11,233254
1684308,Taguig,"City of Taguig,Santa Ana,Tagig,Taguig,Тагиг",14.5243,121.0792,PH,40,644473
1684320,Tagudin,Tagudin,16.9355,120.4442,PH,1,35791
1684379,Tagoloan,Tagoloan,8.53954,124.75411,PH,10,30390
1684395,Tago,,9.02111,126.23167,PH,13,6300
1684422,Tagkawayan Sabang,Tagkawayan Sabang,13.9909,122.5298,PH,40,7684
1684491,Tagbina,Tagbina,8.45194,126.17139,PH,13,10672
1684497,Tagbilaran City,"Dakbayan sa Tagbilaran,Syudad han Tagbilaran,TAG,Tagbilaran,Tagbilaran City",9.65556,123.85219,PH,7,86411
1684577,Tagas,Tagas,13.16667,123.71667,PH,5,15292
1684681,Tacurong,"Kota Tacurong,Tacorong,Tacurong,Tacurong City,Tacurong Lakanbalen,Takrong,Takurong",6.6925,124.67639,PH,12,54648
1684803,Tabuk,"Kota Tabuk,Tabuk,Tabuk City,tabukeu,tbwk  flpayn,تبوک، فلپائن,타부크",17.47378,121.46799,PH,15,27048
1684828,Tabuc Pontevedra,Tabuc Pontevedra,11.48333,122.81667,PH,6,5276
1684853,Tabuan,Tabuan,9.51556,122.85056,PH,NIR,5390
1684857,Tabu,Tabu,9.8923,122.7098,PH,NIR,6143
1684990,Tabina,Tabina,7.4669,123.4081,PH,9,5074
1685071,Tabango,Tabango,11.3077,124.373,PH,8,5806
1685117,Tabaco,"Kota Tabaco,Syudad nin Tabaco,Tabaco City,Tabaco Lakanbalen,Tobaco,tabako,tabako shi,タバコ市,타바코",13.35861,123.73361,PH,5,57860
1685146,Taal,"Taal,Таал",13.87992,120.92311,PH,40,39745
1685161,Suyo,"Suyo,Urzadan,Uzzadan",16.9762,120.5254,PH,1,10943
1685166,Suyan,Suyan,6.06028,125.38528,PH,12,7229
1685218,Surigao,"Ciudad ti Surigao,Dakbayan sa Surigao,Lungsod ng Surigao,SUG,Surigao,Surigao City,Surigao Lakanbalen,su li gao,suligao,surigao,スリガオ,苏里高,수리가오",9.789,125.495,PH,13,87832
1685230,Surallah,"AAV,Surala,Surallah",6.37527,124.74521,PH,12,31089
1685286,Sumpong,Sumpong,8.16333,125.11833,PH,10,7399
1685302,Sumilao,"Sumilao,Sumílao,sumirao,スミラオ",8.28722,124.94556,PH,10,5339
1685366,Sulucan,Sulucan,14.79448,120.92594,PH,3,5703
1685391,Sulop,Sulop,6.59861,125.34361,PH,11,6582
1685401,Sulit,Sulit,6.23611,125.02056,PH,12,5019
1685549,Suklayin,"Suclayin,Suklayin",15.7574,121.5503,PH,3,5734
1685556,Subusub,"Sibusob,Subusob,Subusub",16.22689,120.49513,PH,1,6887
1685577,Subic,Subic,14.87999,120.23433,PH,3,67664
1685578,Subic,Subic,13.94859,120.94013,PH,40,8881
1685622,Suay,Suay,10.0533,122.8423,PH,NIR,19672
1685634,Sual,Sual,16.06682,120.09414,PH,1,5290
1685681,Soyung,"Soyon,Soyung,Suyong",16.7001,121.6655,PH,2,5418
