some_id,name,alternative_names,latitude,longitude,iso_alpha_2,region_id,population
4049979,Birmingham,"BHM,Bermincham,Bermingkham,Birmingam,Birmingamas,Birmingem,Birmingema,Birmingham,Birmingham i Alabama,Birminhem,Gorad Birmingem,baminguhamu,baminhamu,barmingahema,barmingahyama,beominghaem,birmingemi,bo ming han,brmnghham,brmyngm  alabama,parminkam,Μπέρμιγχαμ,Бермингхам,Бирмингам,Бирмингем,Бірмінгем,Горад Бірмінгем,ברמינגהאם,برمنغهام,برمنگھم، الاباما,برمینگم، آلاباما,बर्मिंगहॅम,बर्मिङ्गह्याम,பர்மிங்காம்,རྦིར་མིང་ཧམ།,ბირმინგემი,バーミングハム,バーミンハム,伯明翰,버밍햄",33.52066,-86.80249,US,AL,212461
4050006,Delhi Hills,,39.09284,-84.61272,US,OH,5259
4050118,Turpin Hills,,39.11006,-84.37994,US,OH,5099
4050356,Lugoff,,34.22737,-80.68925,US,SC,7434
4050880,Buda,"Bjuda,Buda,Do Pray,Du Pree,bwda,bwda  tgzas,Бјуда,بودا,بودا، تگزاس",30.08521,-97.84028,US,TX,13705
4051059,Boaz,"Boaz,bo a si,bo'aja,boazu,bwaz,Боаз,بواز,बोआज,ボアズ,波阿斯",34.20065,-86.16637,US,AL,9688
4051714,Brewton,"Brewton,Brjuton,Bruton,Crossroads,Newport,bri'utana,brwtwn,brywtwn,bu lu dun,Брутон,Брютон,بروتون,بريوتون,ब्रीउटन,布鲁顿",31.10518,-87.07219,US,AL,5434
4051894,Brook Highland,Lake Purdy,33.43566,-86.67388,US,AL,6746
4052964,Cahaba Heights,"Cahaba Heights,Merkel,New Market,New Merkle",33.464,-86.73193,US,AL,5287
4053050,Calera,"Buxahatchie,Calera,Kalera,Lime Kiln,Lime Plant,Lime Station,ka lai la,kalra,kalyra,kyalera,Калера,كاليرا,کالرا,क्यालेरा,卡莱拉",33.1029,-86.7536,US,AL,13213
4054378,Center Point,"Senter Pojnt,Sentr-Pojnt,sentara po'inta,sntr bwynt,sntr pwynt  alabama,zhong xin dian,Сентер Појнт,Сентр-Пойнт,سنتر بوينت,سنتر پوینت، آلاباما,سەنتەر پۆینت، ئەلاباما,सेन्टर पोइन्ट,中心点",33.64566,-86.6836,US,AL,16655
4054852,Chelsea,"Chelsi,celsi,chelsi,chlsy  alabama,qie er xi,tshylsya,Челси,Челсі,تشيلسيا,چلسی، آلاباما,چێلسی، ئەلاباما,चेल्सी,切尔西,첼시",33.34011,-86.63026,US,AL,12059
4054996,Chickasaw,"Chikaso,chykasa  alabama,cikasah,qi ka suo,tshykasw,Чикасо,تشيكاسو,چیکاسا، آلاباما,چیکاسۆ، ئەلاباما,चिकासः,契卡索",30.7638,-88.07472,US,AL,5954
4055045,Childersburg,"Childersberg,Childersburg,Childersburgh,ca'ildarsabarga,chai er de si bao,childeoseubeogeu,chyldrzbrg  alabama,tshyldrsbwrgh,Чилдерсберг,تشيلدرسبورغ,چیلدرزبرگ، آلاباما,چیلدەرزبورگ، ئەلاباما,चाइल्डर्सबर्ग,柴尔德斯堡,칠더스버그",33.27817,-86.35498,US,AL,5046
4055577,Clanton,"Clanton,Goose Pond,Klanton,Klenton,Pond,ke lan dun,keullaenteon,klantana,klantwn,klntn  alabama,Клантон,Клентон,كلانتون,کلنتن، آلاباما,کلەنتۆن، ئەلاباما,क्लान्टन,克兰顿,클랜턴",32.83874,-86.62943,US,AL,8844
4055650,Clay,"Klej,ke lai,klay,kle,kly  alabama,Клей,Клеј,كلاي,کلی، آلاباما,کلەی، ئەلاباما,क्ले,克莱",33.7026,-86.59971,US,AL,9655
4057835,Cullman,"Kallmen,Kalman,Kulman,ka er man,kalamyana,karuman,keolmeon,klmn  alabama,kwlman,Каллмен,Калман,Кулман,Кълман,كولمان,کلمن، آلاباما,کەلمەن، ئەلاباما,कलम्यान,カルマン,卡尔曼,컬먼",34.17482,-86.84361,US,AL,15350
4058061,Daleville,"Dale Court House,Daleville,Dejlvil,Dejlvill,dai er wei er,dalyfyl,delabhila,dylwyl  alabama,Дейлвілл,Дејлвил,داليفيل,دیلویل، آلاباما,دەیلڤیل، ئەلاباما,डेलभिल,戴尔维尔",31.31017,-85.71299,US,AL,5141
4058198,Danville,"Danville,Houstons Store",34.41454,-87.08751,US,AL,6242
4058219,Daphne,"Dafni,Daphne,Daphney,Hollywood,da fu ni,dfny  alabama,dyaphne,dyfny,Дафни,Дафні,دفنی، آلاباما,ديفني,دەفنی، ئەلاباما,ड्याफ्ने,达芙妮",30.60353,-87.9036,US,AL,24896
4058553,Decatur,"Decatur,Dekejter,Dekejtur,decatur,dekatara,di kai te,dikeiteo,diketa,diketara,dykatwr,dykytr  alabama,Декейтер,Декејтур,ديكاتور,دیکیتر، آلاباما,دیکەیتەر، ئەلاباما,ڈیکیٹر، الاباما,डिकेटर,डेकाटर,ディケーター,迪凯特,디케이터",34.60593,-86.98334,US,AL,55437
4058662,Demopolis,"Demopolis,White Bluff,dai mo bo li si,demopolisa,dmwpwlys  alabama,dymwbwlys,Демополис,Демополіс,دموپولیس، آلاباما,ديموبوليس,دێمۆپۆلیس، ئەلاباما,डेमोपोलिस,戴摩波里斯",32.51764,-87.8364,US,AL,7148
4059102,Dothan,"Cawthons Cowpen,DHN,Dotan,Dothan,Dothen,Poplar Head,dosan,doseon,dothana,dothyana,duo sen,dwthan,dwthn  alabama,Дотан,دوثان,دوثن، آلاباما,دۆتەن، ئەلاباما,ڈوتھن، الاباما,डोथान,डोथ्यान,ドーサン,多森,도선",31.22323,-85.39049,US,AL,68567
4059870,East Florence,"East Florence,Sweetwater",34.80953,-87.64947,US,AL,35733
4060791,Enterprise,"Drake Eye,ETS,Enterprajs,Enterprajz,Enterprise,antrbrayz,antrprayz  alabama,en te pu lai si,intarapra'ija,Ентерпрайс,Ентерпрајз,إنتربرايز,ئینتەر پرایز، ئەلاباما,انترپرایز، آلاباما,इन्टरप्राइज,恩特普赖斯",31.31517,-85.85522,US,AL,27978
4060954,Eufaula,"EUF,Eufala,Eufaula,Irwinton,Jufola,you fu la,yuphaula,ywfla  alabama,ywfwla,Јуфола,Юфола,يوفولا,یوفلا، آلاباما,یووفۆلا، ئەلاباما,युफौला,尤福拉",31.89127,-85.14549,US,AL,12596
4061206,Fairfield,"Corey,Fairfield,Feerfild,Ferfild,Feurfild,fei er fei er de,fyrfyld,fyrfyld  alabama,peeopildeu,pheyaraphilda,Ферфилд,Феърфилд,Феєрфілд,فيرفيلد,فیئرفیلڈ، الاباما,فیرفیلد، آلاباما,فێرفیلد، ئەلاباما,फेयरफिल्ड,费尔菲尔德,페어필드",33.48594,-86.91194,US,AL,10907
4061234,Fairhope,"Alabama City,Fairhope,Feergoup,Ferkhoup,fei er huo pu,fyrhwb,fyrhwp  alabama,pheyarahopa,Ферхоуп,Феєргоуп,فيرهوب,فیئرہوپ، الاباما,فیرهوپ، آلاباما,فێرھۆپ، ئەلاباما,फेयरहोप,费尔霍普",30.52297,-87.90333,US,AL,18730
4062577,Florence,"Florencija,Florens,flarns  alabama,flwrns,flwrns  alabama,fu luo lun si,furorensu,peullolenseu,phlorensa,Флоренс,Флоренция,فلارنس، آلاباما,فلورنس,فلورنس، الاباما,فلۆرەنس، ئەلاباما,फ्लोरेन्स,フローレンス,弗洛伦斯,플로렌스",34.79981,-87.67725,US,AL,40026
4062644,Foley,"Foley,Foli,NHX,fu li,fwly,fwly  alabama,pholi,Фоли,Фолі,فولي,فولی، آلاباما,فۆلی، ئەلاباما,फोली,弗利",30.40659,-87.6836,US,AL,17218
4062774,Forestdale,,33.57011,-86.89638,US,AL,10162
4062861,Fort Payne,"Fort Pejn,Fort-Pejn,fwrt bayn,fwrt pyn  alabama,pei en bao,pharta peyana,Форт Пејн,Форт-Пейн,فورت باين,فورت پین، آلاباما,فۆرت پەین، ئەلاباما,फर्ट पेयन,佩恩堡",34.44425,-85.71969,US,AL,14150
4063570,Fultondale,"Fultondejl,fwltndyl  alabama,fwltwndal,phulatanadela,Фултондейл,Фултондејл,فولتندیل، آلاباما,فولتندەیل، ئەلاباما,فولتوندال,फुलटनडेल",33.60483,-86.79388,US,AL,9048
4063619,Gadsden,"Double Springs,GAD,Gadsden,Queen City of the Coosa,gaejeudeon,gazuden,gdsdn  alabama,ghadsdn,gyadsdena,jia ci deng,Гадсден,Ґадсден,غادسدن,گدسدن، آلاباما,گەدسدن، ئەلاباما,ग्याड्स्डेन,ガズデン,加兹登,개즈던",34.01434,-86.00639,US,AL,36084
4063765,Gardendale,"Gardendejl,gardenadela,gardndyl  alabama,ghardndyl,jia deng,Гардендејл,Ґардендейл,غاردنديل,گاردندیل، آلاباما,گاردندەیل، ئەلاباما,गार्डेनडेल,加登",33.6601,-86.81277,US,AL,13711
4064310,Glencoe,"Glenko,Glinko,ge lan ke,ghlnkw,glenako,glnkw  alabama,Гленко,Ґлінко,غلنكو,گلنکو، آلاباما,گلێنکۆ، ئەلاباما,ग्लेनको,格兰克",33.95704,-85.93247,US,AL,5153
4065029,Grayson Valley,,33.64816,-86.63943,US,AL,5736
4065302,Greenville,"Buttsville,Greenville,Grinvil,Grinvill,ge lin wei er,ghrynfyl,grinabhila,grynwyl  alabama,Гринвил,Гринвилл,Ґрінвілл,غرينفيل,گرینویل، آلاباما,گرینویل، الاباما,گرینڤیل، ئەلاباما,ग्रीनभिल,格林维尔",31.8296,-86.61775,US,AL,7845
4065552,Gulf Shores,"GUF,Galf Shors,Galf-Shors,galf shwrz  alabama,galpha sorsa,ge er fu hai an,ghlf shwrz,Галф Шорс,Ґалф-Шорс,غلف شورز,گالف شورز، آلاباما,گەلف شۆرز، ئەلاباما,गल्फ शोर्स,格尔夫海岸",30.24604,-87.70082,US,AL,11131
4065649,Guntersville,"Creek Path,Gantersvil,Gantersvill,Gunters Ferry,Gunters Landing,Gunters Village,Guntersville,Helican,Helicon,Kusa-Nunahi,Kusanunnahi,Marshall,White House,Wyeth City,gan te si wei er,gantrzwyl  alabama,ghntrsfyl,guntarsabhila,Гантерсвил,Гантерсвілл,غنترسفيل,گانترزویل، آلاباما,گەنتەرسڤیل، ئەلاباما,गुन्टर्सभिल,甘特斯维尔",34.35823,-86.29446,US,AL,8385
4065965,Hamilton,"Gamil'ton,Gemilton,HAB,Hamilton,Khamilton,Toll Gate,hamyltwn,han mi er dun,hmyltwn  alabama,hyamilatana,Гамильтон,Гемілтон,Хамилтон,هاميلتون,همیلتون، آلاباما,ھەمیلتۆن، ئەلاباما,ہیملٹن، الاباما,ह्यामिलटन,汉密尔顿",34.14232,-87.98864,US,AL,6772
4066449,Hartselle,"Gartsell,Hartsel,Hartsell,Hartsell's Station,Hartselle,Hartsells,Khartsel,ha te sai er,hartasela,hartsl  alabama,hartsyl,Гартселл,Хартсел,هارتسل، آلاباما,هارتسيل,ھارتسێل، ئەلاباما,हार्टसेल,哈特塞尔",34.44343,-86.93528,US,AL,14493
4066463,Harvest,"Garvest,Harvest,Kelly,Kharvest,harbhesta,harfst,harwst,Гарвест,Харвест,هارفست,هاروست,हार्भेस्ट",34.85564,-86.75083,US,AL,5281
4066811,Helena,"Cove,Gelena,Helena,Hillsboro,Hillsborough,Khelena,Khelina,Lees Cove,hai lun na,helena,hlna  alabama,hylyna,Гелена,Хелена,Хелина,هلنا، آلاباما,هيلينا,ھێلێنا، ئەلاباما,हेलेना,海伦娜",33.29622,-86.8436,US,AL,18264
4067927,Homewood,"Goumvud,Khomvud,homavuda,huo mu wu de,hwmwwd,hwmwwd  alabama,Гоумвуд,Хомвуд,هوموود,هوموود، آلاباما,ھۆموود، ئەلاباما,होमवूड,霍姆伍德",33.47177,-86.80082,US,AL,25708
4067994,Hoover,"Guver,Hoover,Khuver,fuba,hu fu,hubhara,hwfr,hwwr  alabama,Гувер,Хувер,هوفر,هوور، آلاباما,ھووڤەر، ئەلاباما,ہوور، الاباما,हूभर,フーバー,胡佛",33.40539,-86.81138,US,AL,84848
4068446,Hueytown,"Earnest,G'juitaun,Huey,Hueytown,Khjuitaun,hu ai zhen,hwytawn,hyuyata'una,hywyytawn  alabama,Гьюітаун,Хјуитаун,هويتاون,هیوئیتاون، آلاباما,ھیویتاون، ئەلاباما,ह्युयटाउन,胡艾镇",33.45122,-86.99666,US,AL,15710
4068590,Huntsville,"Gantsvill,HSV,Hantsvila,Hantsvilis,Hantsvill,Hunts Spring,Huntsville,Khantsvil,Khantsvill,Khuntsvil,Twickenham,hantsabhila,hantsubiru,hantswyl  alabama,heng ci wei er,heoncheubil,hntsfyl,Гантсвілл,Хантсвил,Хантсвилл,Хънтсвил,האנטסוויל,هانتسویل، آلاباما,هنتسفيل,ھەنتسڤیل، ئەلاباما,ہنٹسویل، الاباما,हन्त्सभिल,ハンツビル,亨茨维尔,헌츠빌",34.7304,-86.58594,US,AL,190582
4069243,Irondale,"Ajrondejl,a'iranadela,ai ang dai er,ayrndyl  alabama,ayrwndyl,Айрондейл,Ајрондејл,آيرونديل,آیرندیل، آلاباما,ئایرۆندەیل، ئەلاباما,आइरनडेल,艾昂戴尔",33.53816,-86.70721,US,AL,12423
4069553,Jacksonville,"Drayton,Dzeksonvil,Dzheksonvill,Greens Trading Post,Jackson,Jackson Ville,Jacksonville,Jacksoonville,Jaksonville,Madison,jaksnvyl  yەlabama,jakswnfyl,jakusonbiru,jie ke xun wei er,jkkswnwyl  alabama,jksnwyl  alabama,jyakasanabhila,Џексонвил,Джексонвилл,Джексонвілл,جاكسونفيل,جاکسنڤیل، ئەلاباما,جکسنویل، آلاباما,جککسونویل، الاباما,ज्याकसनभिल,ジャクソンビル,杰克逊维尔",33.81382,-85.7613,US,AL,12222
4069659,Jasper,"Dzasper,Dzhasper,bi yu,gspr,jaeseupeo,jasbr,jaspr  alabama,jspr  albama,jyaspara,Џаспер,Джаспер,גספר,جاسبر,جاسپر، آلاباما,جاسپەر، ئەلاباما,جسپر، الباما,ज्यास्पर,碧玉,재스퍼",33.83122,-87.27751,US,AL,14071
4071488,Lake Purdy,,33.43011,-86.68054,US,AL,7857
4071763,Lanett,"Bluffton,Lanet,Lanett,la nei te,lanyt,leneta,lnt  alabama,Ланет,Ланетт,لانيت,لانیٹٹ، الابامہ,لنت، آلاباما,لەنێت، ئەلاباما,लेनेट,拉内特",32.86874,-85.1905,US,AL,6452
4072130,Leeds,"Cedar Grove,Leeds,Lids,Oak Ridge,li ci,lidsa,lydz,lydz  alabama,Лидс,Лідс,ليدز,لیدز، آلاباما,لیدز، ئەلاباما,لیڈز، الاباما,लीड्स,利兹",33.54816,-86.54443,US,AL,11936
4072767,Lincoln,"Kingsville,Lincoln,Linkol'n,Linkoln,lin ken,lingkeon,linkana,lnkn,lnkn  alabama,lynkwln  alabama,Линколн,Линкольн,Лінкольн,لنكن,لنکن، الاباما,لینکن، ئەلاباما,لینکولن، آلاباما,लिङ्कन,林肯,링컨",33.61316,-86.11831,US,AL,6524
4074267,Madison,"Madison,Medison,Mehdison,madison,madysn,mai di xun,mdyswn  alabama,myadisana,Мадисон,Медисон,Медісон,Мэдисон,ماديسن,مدیسون، آلاباما,میڈیسون، الاباما,مەدیسن، ئەلاباما,म्याडिसन,マディソン,麦迪逊",34.69926,-86.74833,US,AL,46962
4075692,Meadowbrook,,33.40205,-86.69665,US,AL,8769
4075854,Meridianville,,34.85148,-86.57222,US,AL,6021
4075977,Midfield,"Midfild,mdfyld,midaphilda,mydfyld  alabama,zhong chang,Мидфилд,Мідфілд,مدفيلد,میدفیلد، آلاباما,میدفیلد، ئەلاباما,मिडफिल्ड,中场",33.4615,-86.90888,US,AL,5222
4076239,Millbrook,"Milbruk,Millbruk,mi er bu lu ke,milabruka,milbeulug,mylbrwk,mylbrwk  alabama,Милбрук,Міллбрук,ميلبروك,میلبروک، آلاباما,میلبروک، ئەلاباما,मिलब्रूक,米尔布鲁克,밀브룩",32.47986,-86.36192,US,AL,15314
4076598,Mobile,"La Mobila,La Mobile,MOB,Mo-il-la,Mobajl,Mobil,Mobila,Mobilas,Mobile,Mobille,Moville,mo bi er,moba'ila,mobil,mobila,mobili,mobiru,mwbayl  alabama,mwbyl,mwbyl  alabama,Мобајл,Мобил,Мобіл,מוביל,موبائل، الاباما,موبيل,موبیل، آلاباما,मोबाइल,मोबिल,მობილი,ម៉ូបាល,モービル,莫比尔,모빌",30.69436,-88.04305,US,AL,194288
4076725,Monroeville,"Centerville,MVC,Monroeville,Monrovil,Monrovill,Walkers Mill,Walkers Store,men luo wei er,munrobhila,mwnrwfyl,mwnrwwyl  alabama,Монровил,Монровілл,مونروفيل,مونروویل، آلاباما,مۆنرۆڤیل، ئەلاباما,मुन्रोभिल,门罗维尔",31.52794,-87.32471,US,AL,6110
4076771,Montevallo,"Kings,Montavalo,Montevallo,Montevalo,Montivello,Smiths Store,Wilsons Hill,meng te wa luo,montebhyalo,mwntyfalw,mwntywlw  alabama,Монтевало,Монтівелло,مونتيفالو,مونتیولو، آلاباما,مۆنتێڤەلۆ، ئەلاباما,मोन्तेभ्यालो,蒙特瓦洛",33.10067,-86.86416,US,AL,6648
4076784,Montgomery,"Gorad Mantgomery,MGM,Mons Gomerici,Montgomeri,Montgomeris,Montgomery,Montgomuri,Montnkomeri,mamtagomeri,mantagomeri,mantgameri,mantkamari,meng ge ma li,mong-gomeli,mongomeri,montagomari,mwntghwmry,mwntgmry,mwntgwmry,mxn t kx me xri,Μοντγκόμερι,Горад Мантгомеры,Монтгомери,Монтгомері,Монтгомъри,Մոնտգոմերի,מאנטגאמערי,מונטגומרי,مونتغومري,مونتگمری,مونٹگمری,مونٹگمری، الاباما,माँटगोमेरी,मान्टगोमेरी,मोन्टगोमरी,मोन्तगोमरी,மான்ட்கமரி,ಮಾಂಟ್ಗಾಮೆರಿ,มอนต์กอเมอรี,მონტგომერი,モンゴメリー,蒙哥馬利,蒙哥马利,몽고메리",32.36681,-86.29997,US,AL,200602
4076842,Moody,"Moody,Moodys,Moodys Crossroads",33.59094,-86.49082,US,AL,12593
4076982,Moores Mill,"Moore Mill,Moores Mill,Moores Mills",34.84398,-86.51832,US,AL,5682
4078646,Mountain Brook,,33.50094,-86.75221,US,AL,20691
4078964,Muscle Shoals,"Chustanaluyi,Dagunahi,MSL,Masl Shouls,Masl-Shols,Muscle Shoals,Quad Cities,The Shoals,Tri-Cities,ma si er xiao er si,masala solsa,masl shaywlz  alabama,msl shwls,Масл Шоулс,Масл-Шолс,ماسل شائولز، آلاباما,مسل شولس,مەسل شۆلس، ئەلاباما,मशल शोल्स,马斯尔肖尔斯",34.74481,-87.66753,US,AL,13706
4080555,Northport,"Canetuck,Kentuck,North Port,North Tuskaloosa,Northport,Nortport,narthaporta,noseupoteu,nosupoto,nuo si bo te,nwrth bwrt,nwrthpwrt  alabama,Нортпорт,نورتپۆرت، ئەلاباما,نورث بورت,نورثپورت، آلاباما,नर्थपोर्ट,ノースポート,诺斯波特,노스포트",33.22901,-87.57723,US,AL,24772
4081644,Opelika,"Big Swamp,Opelajka,Opelika,Opelikan,Opillaka,Owls Roost,awbylyka,awplyka  alabama,opela'ika,opelika,ou pei lai ka,Опелајка,Опеліка,أوبيليكا,ئۆپێلیکا، ئەلاباما,اوپلیکا، آلاباما,ओपेलाइका,ओपेलिका,欧佩莱卡",32.64541,-85.37828,US,AL,29527
4081671,Oneonta,"Oneonta,Oneonto,Onionta,ao ni ang ta,awnywnta,awnyywnta  alabama,oniyonta,Онеонта,Онионта,أونيونتا,ئۆنیۆنتا، ئەلاباما,اونیئونتا، آلاباما,ओनियोन्टा,奥尼昂塔",33.94815,-86.47276,US,AL,6615
4081683,Opp,"Hallton,Op,Opp,Oupp,ao pu,ap  alabama,awb,oppa,Оп,Оупп,آپ، آلاباما,أوب,ئۆپ، ئەلاباما,ओप्प,奥普",31.28267,-86.25551,US,AL,6658
4081696,Orange Beach,,30.29437,-87.57359,US,AL,5850
4081914,Oxford,"Lick Skillet,Lickskillet,Oksford,Oxford,Snow Creek,Snows Creek,aksapharda,aksfwrd  alabama,awksfwrd,niu jin,ogseupeodeu,Оксфорд,آکسفرڈ، الاباما,آکسفورد، آلاباما,أوكسفورد,ئۆکسفۆرد، ئەلاباما,अक्सफर्ड,牛津,옥스퍼드",33.61427,-85.83496,US,AL,21249
4081936,Ozark,"Bullards,Merrick,Merricks,OZR,Ozark,Woodshop,ao suo ka,awzark,awzark  alabama,ojarka,Озарк,أوزارك,ئۆزارک، ئەلاباما,اوزارک، آلاباما,ओजार्क,奥索卡",31.45906,-85.64049,US,AL,14719
4082569,Pelham,"Pelam,Pelham,Shelby Courthouse,Shelbyville,blham,pei lei mu,pelahyama,plham  alabama,Пелам,بلهام,پلهام، آلاباما,پێلھەم، ئەلاباما,पेलह्याम,佩勒姆",33.28567,-86.80999,US,AL,22885
4082589,Pell City,"PLR,Pel Siti,Pell-Siti,byl syty,pei er cheng,pella siti,pl syty  alabama,Пел Сити,Пелл-Сіті,بيل سيتي,پل سیتی، آلاباما,پێل سیتی، ئەلاباما,पेल्ल सिटी,佩尔城",33.58621,-86.28609,US,AL,13646
4082866,Phenix City,"Browneville,Brownville,Feniks-Siti,Finiks Siti,Knights Station,Lively,Phenix City,Phoenix,feng huang cheng,fnyks syty  alabama,fynyks syty,phiniksa siti,Фенікс-Сіті,Финикс Сити,فنیکس سیتی، آلاباما,فينيكس سيتي,فینیکس سیتی، ئەلاباما,फिनिक्स सिटी,凤凰城,鳳凰城",32.47098,-85.00077,US,AL,37570
4083073,Pike Road,"Pike Road,Pikeroad",32.28431,-86.10302,US,AL,8274
