iso_code,name
AD-06,Sant Julia de Loria
AD-05,Ordino
AD-04,La Massana
AD-03,Encamp
AD-02,Canillo
AD-07,Andorra la Vella
AD-08,Escaldes-Engordany
AE-07,Umm al Qaywayn
AE-05,Ra's al Khaymah
AE-03,Dubai
AE-06,Ash Shariqah
AE-04,Al Fujayrah
AE-02,Ajman
AE-01,Abu Dhabi
AF-28,Zabul
AF-27,Vardak
AF-26,Takhar
AF-33,Sar-e Pol
AF-32,Samangan
AF-40,Parwan
AF-29,Paktika
AF-36,Paktia
AF-39,Oruzgan
AF-19,Nimroz
AF-18,Nangarhar
AF-17,Logar
AF-35,Laghman
AF-24,Kunduz
AF-34,Kunar
AF-14,Kapisa
AF-23,Kandahar
AF-13,Kabul
AF-31,Jowzjan
AF-11,Herat
AF-10,Helmand
AF-09,Ghowr
AF-08,Ghazni
AF-07,Faryab
AF-06,Farah
AF-05,Bamyan
AF-30,Balkh
AF-03,Baghlan
AF-02,Badghis
AF-01,Badakhshan
AF-37,Khowst
AF-38,Nuristan
AF-41,Daykundi
AF-42,Panjshir
AG-08,Saint Philip
AG-07,Saint Peter
AG-06,Saint Paul
AG-05,Saint Mary
AG-04,Saint John
AG-03,Saint George
AG-09,Redonda
AG-01,Barbuda
AI-11205389,Blowing Point
AI-11205392,Sandy Ground
AI-11205393,Sandy Hill
AI-11205396,The Valley
AI-11205433,East End
AI-11205436,North Hill
AI-11205437,West End
AI-11205438,South Hill
AI-11205439,The Quarter
AI-11205440,North Side
AI-11205441,Island Harbour
AI-11205442,George Hill
AI-11205443,Stoney Ground
AI-11205444,The Farrington
AL-40,Berat
AL-41,Diber
AL-43,Elbasan
AL-45,Gjirokaster
AL-46,Korce
AL-47,Kukes
AL-42,Durres
AL-44,Fier
AL-48,Lezhe
AL-49,Shkoder
AL-50,Tirane
AL-51,Vlore
AM-02,Ararat
AM-08,Syunik
AM-10,Vayots Dzor
AM-11,Yerevan
AM-01,Aragatsotn
AM-03,Armavir
AM-04,Gegharkunik
AM-05,Kotayk
AM-06,Lori
AM-07,Shirak
AM-09,Tavush
AO-18,Lunda Sul
AO-17,Luanda Norte
AO-14,Moxico
AO-04,Cuando Cobango
AO-16,Zaire
AO-15,Uige
AO-12,Malanje
AO-20,Luanda
AO-05,Cuanza Norte
AO-03,Cabinda
AO-19,Bengo
AO-13,Namibe
AO-09,Huila
AO-08,Huambo
AO-07,Cunene
AO-06,Kwanza Sul
AO-02,Bie
AO-01,Benguela
AR-14,Misiones
AR-09,Formosa
AR-07,Buenos Aires F.D.
AR-08,Entre Rios
AR-06,Corrientes
AR-01,Buenos Aires
AR-24,Tucuman
AR-23,Tierra del Fuego
AR-22,Santiago del Estero
AR-21,Santa Fe
AR-20,Santa Cruz
AR-19,San Luis
AR-18,San Juan
AR-17,Salta
AR-16,Rio Negro
AR-15,Neuquen
AR-13,Mendoza
AR-12,La Rioja
AR-11,La Pampa
AR-10,Jujuy
AR-05,Cordoba
AR-04,Chubut
AR-03,Chaco
AR-02,Catamarca
AS-050,Western District
AS-040,Swains Island
AS-010,Eastern District
AS-020,Manu'a
AS-030,Rose Island
AT-09,Vienna
AT-08,Vorarlberg
AT-07,Tyrol
AT-06,Styria
AT-05,Salzburg
AT-04,Upper Austria
AT-03,Lower Austria
AT-02,Carinthia
AT-01,Burgenland
AU-08,Western Australia
AU-05,South Australia
AU-03,Northern Territory
AU-07,Victoria
AU-06,Tasmania
AU-04,Queensland
AU-02,New South Wales
AU-01,ACT
AX-211,Mariehamns stad
AX-212,Alands landsbygd
AX-213,Alands skaergard
AZ-12,Beylaqan
AZ-69,Zangilan Rayon
AZ-66,Yardimli
AZ-55,Susa
AZ-49,Salyan
AZ-46,Sabirabad
AZ-45,Saatli
AZ-13,Bilasuvar Rayon
AZ-36,Neftcala
AZ-35,Nakhichevan
AZ-32,Masally
AZ-31,Lerik
AZ-29,Lankaran
AZ-28,Lacin
AZ-43,Qubadli
AZ-24,Imisli
AZ-18,Fuezuli
AZ-14,Jabrayil
AZ-15,Jalilabad
AZ-08,Astara
AZ-64,Xocali
AZ-02,Aghjabadi Rayon
AZ-03,Agdam
AZ-07,Shirvan
AZ-30,Lankaran Sahari
AZ-56,Shusha
AZ-57,Tartar Rayon
AZ-61,Xankandi Sahari
AZ-65,Khojavend
AZ-71,Zardab
AZ-70,Zaqatala
AZ-67,Yevlax
AZ-37,Oguz
AZ-59,Ucar
AZ-58,Tovuz
AZ-50,Samaxi
AZ-47,Shaki Rayon
AZ-51,Shamkir Rayon
AZ-27,Kurdamir Rayon
AZ-38,Qabala Rayon
AZ-44,Qusar
AZ-42,Quba
AZ-62,Goygol Rayon
AZ-60,Xacmaz
AZ-26,Kalbajar
AZ-40,Qazax
AZ-21,Goranboy
AZ-39,Qakh Rayon
AZ-25,Ismayilli
AZ-22,Goeycay
AZ-17,Shabran
AZ-16,Dashkasan Rayon
AZ-10,Balakan Rayon
AZ-11,Barda Rayon
AZ-09,Baki
AZ-01,Abseron
AZ-06,Agsu
AZ-04,Agdas
AZ-19,Gadabay Rayon
AZ-05,Agstafa
AZ-20,Ganja City
AZ-33,Mingacevir City
AZ-34,Naftalan
AZ-41,Qobustan
AZ-52,Samux
AZ-48,Shaki City
AZ-53,Siazan Rayon
AZ-54,Sumqayit
AZ-63,Xizi
AZ-68,Yevlax City
AZ-23,Haciqabul
AZ-75,Nakhchivan
BA-01,Federation of B&H
BA-02,Srspka
BA-BRC,Brcko
BB-11,Saint Thomas
BB-10,Saint Philip
BB-09,Saint Peter
BB-08,Saint Michael
BB-07,Saint Lucy
BB-06,Saint Joseph
BB-05,Saint John
BB-04,Saint James
BB-03,Saint George
BB-02,Saint Andrew
BB-01,Christ Church
BD-83,Rajshahi Division
BD-81,Dhaka
BD-84,Chittagong
BD-82,Khulna
BD-85,Barisal
BD-86,Sylhet
BD-87,Rangpur Division
BD-H,Mymensingh Division
BE-BRU,Brussels Capital
BE-WAL,Wallonia
BE-VLG,Flanders
BF-01,Boucle du Mouhoun
BF-02,Cascades
BF-03,Centre
BF-04,Centre-Est
BF-05,Centre-Nord
BF-06,Centre-Ouest
BF-07,Centre-Sud
BF-08,Est
BF-09,Hauts-Bassins
BF-10,Nord
BF-11,Plateau-Central
BF-12,Sahel
BF-13,Sud-Ouest
BG-52,Razgrad
BG-47,Montana
BG-64,Vratsa
BG-61,Varna
BG-40,Dobrich
BG-58,Sofia
BG-53,Ruse
BG-51,Plovdiv
BG-50,Pleven
BG-49,Pernik
BG-48,Pazardzhik
BG-46,Lovech
BG-43,Khaskovo
BG-42,Sofia-Capital
BG-39,Burgas
BG-38,Blagoevgrad
BG-41,Gabrovo
BG-44,Kurdzhali
BG-45,Kyustendil
BG-54,Shumen
BG-55,Silistra
BG-56,Sliven
BG-57,Smolyan
BG-59,Stara Zagora
BG-60,Turgovishte
BG-62,Veliko Turnovo
BG-63,Vidin
BG-65,Yambol
BH-15,Muharraq
BH-16,Manama
BH-17,Southern Governorate
BH-19,Northern
BI-17,Makamba
BI-10,Bururi
BI-22,Muramvya
BI-13,Gitega
BI-21,Ruyigi
BI-11,Cankuzo
BI-14,Karuzi
BI-09,Bubanza
BI-12,Cibitoke
BI-19,Ngozi
BI-15,Kayanza
BI-18,Muyinga
BI-16,Kirundo
BI-20,Rutana
BI-23,Mwaro
BI-24,Bujumbura Mairie
BI-25,Bujumbura Rural
BI-26,Rumonge
BJ-18,Zou
BJ-16,Oueme
BJ-15,Mono
BJ-10,Borgou
BJ-09,Atlantique
BJ-08,Atakora
BJ-07,Alibori
BJ-11,Collines
BJ-12,Kouffo
BJ-13,Donga
BJ-14,Littoral
BJ-17,Plateau
BM-11,Warwick
BM-10,Southampton
BM-09,Smith's Parish
BM-08,Sandys
BM-07,Saint George's Parish
BM-06,Saint George
BM-05,Pembroke
BM-04,Paget
BM-02,Hamilton
BM-03,Hamilton city
BM-01,Devonshire
BN-04,Tutong
BN-03,Temburong
BN-02,Brunei and Muara
BN-01,Belait
BO-09,Tarija
BO-08,Santa Cruz
BO-07,Potosi
BO-06,Pando
BO-05,Oruro
BO-04,La Paz
BO-02,Cochabamba
BO-01,Chuquisaca
BO-03,El Beni
BQ-BO,Bonaire
BQ-SB,Saba
BQ-SE,Sint Eustatius
BR-22,Rio Grande do Norte
BR-20,Piaui
BR-30,Pernambuco
BR-17,Paraiba
BR-16,Para
BR-13,Maranhao
BR-06,Ceara
BR-03,Amapa
BR-02,Alagoas
BR-28,Sergipe
BR-27,Sao Paulo
BR-26,Santa Catarina
BR-23,Rio Grande do Sul
BR-21,Rio de Janeiro
BR-18,Parana
BR-15,Minas Gerais
BR-11,Mato Grosso do Sul
BR-14,Mato Grosso
BR-29,Goias
BR-07,Federal District
BR-08,Espirito Santo
BR-05,Bahia
BR-31,Tocantins
BR-25,Roraima
BR-04,Amazonas
