iso_code,name
GD-06,Saint Patrick
GD-05,Saint Mark
GD-04,Saint John
GD-03,Saint George
GD-02,Saint David
GD-01,Saint Andrew
GD-10,Carriacou and Petite Martinique
GE-51,T'bilisi
GE-04,Ajaria
GE-68,Kvemo Kartli
GE-67,Kakheti
GE-65,Guria
GE-66,Imereti
GE-73,Shida Kartli
GE-69,Mtskheta-Mtianeti
GE-70,Racha-Lechkhumi and Kvemo Svaneti
GE-71,Samegrelo and Zemo Svaneti
GE-72,Samtskhe-Javakheti
GE-02,Abkhazia
GF-GF,Guyane
GG-6417213,St Pierre du Bois
GG-6417214,Torteval
GG-6417215,Saint Saviour
GG-6417223,Forest
GG-6417224,St Martin
GG-6417226,Saint Andrew
GG-6417228,St Peter Port
GG-6417229,Castel
GG-6417230,Vale
GG-6417233,St Sampson
GG-8989934,Alderney
GH-09,Western
GH-08,Volta
GH-11,Upper West
GH-10,Upper East
GH-06,Northern
GH-01,Greater Accra
GH-05,Eastern
GH-04,Central
GH-03,Brong-Ahafo
GH-02,Ashanti
GL-05,Qaasuitsup
GL-04,Kujalleq
GL-06,Qeqqata
GL-07,Sermersooq
GM-05,Western
GM-04,Upper River
GM-07,North Bank
GM-03,Central River
GM-02,Lower River
GM-01,Banjul
GN-04,Conakry
GN-B,Boke
GN-F,Faranah
GN-K,Kankan
GN-D,Kindia
GN-L,Labe
GN-M,Mamou
GN-N,Nzerekore
GP-GP,Guadeloupe
GQ-03,Annobon
GQ-04,Bioko Norte
GQ-05,Bioko Sur
GQ-06,Centro Sur
GQ-07,Kie-Ntem
GQ-08,Litoral
GQ-09,Wele-Nzas
GR-736572,Mount Athos
GR-ESYE31,Attica
GR-ESYE24,Central Greece
GR-ESYE12,Central Macedonia
GR-ESYE43,Crete
GR-ESYE11,East Macedonia and Thrace
GR-ESYE21,Epirus
GR-ESYE22,Ionian Islands
GR-ESYE41,North Aegean
GR-ESYE25,Peloponnese
GR-ESYE42,South Aegean
GR-ESYE14,Thessaly
GR-ESYE23,West Greece
GR-ESYE13,West Macedonia
GT-22,Zacapa
GT-21,Totonicapan
GT-20,Suchitepeque
GT-19,Solola
GT-18,Santa Rosa
GT-17,San Marcos
GT-16,Sacatepequez
GT-15,Retalhuleu
GT-14,Quiche
GT-13,Quetzaltenango
GT-12,Peten
GT-11,Jutiapa
GT-10,Jalapa
GT-09,Izabal
GT-08,Huehuetenango
GT-07,Guatemala
GT-06,Escuintla
GT-05,El Progreso
GT-04,Chiquimula
GT-03,Chimaltenango
GT-02,Baja Verapaz
GT-01,Alta Verapaz
GU-PI,Piti
GU-SR,Santa Rita
GU-SJ,Sinajana
GU-TF,Talofofo
GU-TM,Tamuning
GU-UM,Umatac
GU-YG,Yigo
GU-YN,Yona
GU-ME,Merizo
GU-MA,Mangilao
GU-AH,Agana Heights
GU-CP,Chalan Pago-Ordot
GU-AS,Asan
GU-AT,Agat
GU-DD,Dededo
GU-BA,Barrigada
GU-AN,Hagatna
GU-IN,Inarajan
GU-MT,Mongmong-Toto-Maite
GW-07,Tombali
GW-02,Quinara
GW-04,Oio
GW-10,Gabu
GW-06,Cacheu
GW-05,Bolama and Bijagos
GW-11,Bissau
GW-12,Biombo
GW-01,Bafata
GY-19,Upper Takutu-Upper Essequibo
GY-18,Upper Demerara-Berbice
GY-17,Potaro-Siparuni
GY-16,Pomeroon-Supenaam
GY-15,Mahaica-Berbice
GY-14,Essequibo Islands-West Demerara
GY-13,East Berbice-Corentyne
GY-12,Demerara-Mahaica
GY-11,Cuyuni-Mazaruni
GY-10,Barima-Waini
HK-NYL,Yuen Long
HK-NTW,Tsuen Wan
HK-NTP,Tai Po
HK-NSK,Sai Kung
HK-NIS,Islands
HK-HCW,Central and Western
HK-HWC,Wanchai
HK-HEA,Eastern
HK-HSO,Southern
HK-KYT,Yau Tsim Mong
HK-KSS,Sham Shui Po
HK-KKC,Kowloon City
HK-KWT,Wong Tai Sin
HK-KKT,Kwun Tong
HK-NKT,Kwai Tsing
HK-NTM,Tuen Mun
HK-NNO,North
HK-NST,Sha Tin
HN-18,Yoro
HN-17,Valle
HN-16,Santa Barbara
HN-15,Olancho
HN-14,Ocotepeque
HN-13,Lempira
HN-12,La Paz
HN-11,Bay Islands
HN-10,Intibuca
HN-09,Gracias a Dios
HN-08,Francisco Morazan
HN-07,El Paraiso
HN-06,Cortes
HN-05,Copan
HN-04,Comayagua
HN-03,Colon
HN-02,Choluteca
HN-01,Atlantida
HR-01,Bjelovarsko-Bilogorska
HR-02,Slavonski Brod-Posavina
HR-03,Dubrovacko-Neretvanska
HR-04,Istria
HR-05,Karlovacka
HR-06,Koprivnicko-Krizevacka
HR-07,Krapinsko-Zagorska
HR-08,Licko-Senjska
HR-09,Medimurska
HR-10,Osjecko-Baranjska
HR-11,Pozesko-Slavonska
HR-12,Primorsko-Goranska
HR-13,Sibensko-Kniniska
HR-14,Sisacko-Moslavacka
HR-15,Split-Dalmatia
HR-16,Varazdinska
HR-18,Vukovar-Sirmium
HR-19,Zadarska
HR-20,Zagrebacka
HR-21,City of Zagreb
HR-17,Virovitick-Podravska
HT-13,Sud-Est
HT-12,Sud
HT-11,Ouest
HT-03,Nord-Ouest
HT-10,Nord-Est
HT-09,Nord
HT-14,Grandans
HT-07,Centre
HT-06,Artibonite
HT-15,Nippes
HU-18,Szabolcs-Szatmar-Bereg
HU-20,Jasz-Nagykun-Szolnok
HU-11,Heves
HU-10,Hajdu-Bihar
HU-06,Csongrad
HU-04,Borsod-Abauj-Zemplen
HU-03,Bekes
HU-24,Zala
HU-23,Veszprem
HU-22,Vas
HU-21,Tolna
HU-17,Somogy
HU-16,Pest
HU-14,Nograd
HU-12,Komarom-Esztergom
HU-09,Gyor-Moson-Sopron
HU-08,Fejer
HU-05,Budapest
HU-02,Baranya
HU-01,Bacs-Kiskun
ID-26,North Sumatra
ID-01,Aceh
ID-10,Yogyakarta
ID-32,South Sumatra
ID-24,West Sumatra
ID-31,North Sulawesi
ID-22,Southeast Sulawesi
ID-21,Central Sulawesi
ID-38,South Sulawesi
ID-37,Riau
ID-18,East Nusa Tenggara
ID-17,West Nusa Tenggara
ID-28,Maluku
ID-15,Lampung
ID-14,East Kalimantan
ID-13,Central Kalimantan
ID-12,South Kalimantan
ID-11,West Kalimantan
ID-08,East Java
ID-07,Central Java
ID-30,West Java
ID-05,Jambi
ID-04,Jakarta
ID-36,Papua
ID-03,Bengkulu
ID-02,Bali
ID-33,Banten
ID-34,Gorontalo
ID-35,Bangka-Belitung Islands
ID-29,North Maluku
ID-39,West Papua
ID-41,West Sulawesi
ID-40,Riau Islands
ID-42,North Kalimantan
IE-C,Connaught
IE-L,Leinster
IE-M,Munster
IE-U,Ulster
IL-06,Jerusalem
IL-05,Tel Aviv
IL-04,Haifa
IL-03,Northern District
IL-02,Central District
IL-01,Southern District
IM-9782164,Andreas
IM-9782165,Arbory
IM-9782166,Ballaugh
IM-9782167,Braddan
IM-9782168,Bride
IM-9782169,Castletown
IM-9782170,Douglas
IM-9782171,German
IM-9782172,Jurby
IM-9782173,Laxey
IM-9782176,Lezayre
IM-9782180,Lonan
IM-9782182,Malew
IM-9782183,Marown
IM-9782184,Maughold
IM-9782185,Michael
IM-9782186,Onchan
IM-9782187,Patrick
IM-9782188,Peel
