iso_code,name
MH-100,Erikub Atoll
MH-120,Jaluit Atoll
MH-150,Kwajalein Atoll
MH-160,Lae Atoll
MH-180,Likiep Atoll
MH-190,Majuro Atoll
MH-300,Maloelap Atoll
MH-320,Mili Atoll
MH-330,Namdrik Atoll
MH-340,Namu Atoll
MH-350,Rongelap Atoll
MH-360,Rongrik Atoll
MH-385,Taka Atoll
MH-073,Bokak Atoll
MH-390,Ujae Atoll
MH-400,Ujelang
MH-410,Utrik Atoll
MH-420,Wotho Atoll
MH-430,Wotje Atoll
MH-110,Jabat Island
MH-130,Jemo Island
MH-140,Kili Island
MH-170,Lib Island
MH-310,Mejit Island
MK-E9,Valandovo
MK-86,Resen
MK-51,Kratovo
MK-78,Pehcevo
MK-72,Novo Selo
MK-11,Bosilovo
MK-A9,Vasilevo
MK-E5,Dojran
MK-08,Bogdanci
MK-47,Konce
MK-62,Makedonska Kamenica
MK-C6,Zrnovci
MK-40,Karbinci
MK-25,Demir Kapija
MK-87,Rosoman
MK-35,Gradsko
MK-60,Lozovo
MK-19,Cesinovo-Oblesevo
MK-E1,Novaci
MK-04,Berovo
MK-06,Bitola
MK-D9,Mogila
MK-01,Aracinovo
MK-C7,Bogovinje
MK-12,Brvenica
MK-C8,Cair
MK-C9,Caska Municipality
MK-D1,Centar
MK-18,Centar Zupa
MK-20,Cucer-Sandevo
MK-D2,Debar
MK-22,Delcevo
MK-D3,Demir Hisar
MK-28,Dolneni
MK-29,Opstina Gjorce Petrov
MK-30,Drugovo
MK-32,Gazi Baba
MK-33,Gevgelija
MK-D4,Gostivar
MK-36,Ilinden
MK-D5,Jegunovce
MK-41,Karpos
MK-D6,Kavadarci
MK-43,Kicevo
MK-44,Kisela Voda
MK-46,Kocani
MK-52,Kriva Palanka
MK-53,Krivogastani
MK-54,Krusevo
MK-D7,Kumanovo
MK-59,Opstina Lipkovo
MK-D8,Makedonski Brod
MK-69,Negotino
MK-E2,Ohrid
MK-77,Oslomej
MK-79,Petrovec
MK-80,Plasnica
MK-E3,Prilep
MK-83,Probistip
MK-84,Radovis
MK-85,Opstina Rankovce
MK-E4,Mavrovo and Rostusa
MK-90,Saraj
MK-92,Sopiste
MK-97,Staro Nagoricane
MK-98,Stip
MK-E6,Struga
MK-E7,Strumica
MK-A2,Studenicani
MK-A3,Suto Orizari
MK-A4,Sveti Nikole
MK-A5,Tearce
MK-E8,Tetovo
MK-F1,Veles
MK-B3,Vevcani
MK-B4,Vinica
MK-B6,Vranestica
MK-B7,Vrapciste
MK-C1,Zajas
MK-C2,Zelenikovo
MK-C3,Zelino
MK-F3,Aerodrom
MK-F4,Butel
MK-F5,Debarca
MK-F6,Grad Skopje
ML-08,Tombouctou
ML-06,Sikasso
ML-05,Segou
ML-04,Mopti
ML-07,Koulikoro
ML-03,Kayes
ML-09,Gao
ML-01,Bamako
ML-10,Kidal
MM-12,Tanintharyi
MM-11,Shan
MM-10,Sagain
MM-17,Yangon
MM-01,Rakhine
MM-16,Bago
MM-13,Mon
MM-08,Mandalay
MM-15,Magway
MM-06,Kayah
MM-05,Kayin
MM-04,Kachin
MM-03,Ayeyarwady
MM-02,Chin
MM-18,Nay Pyi Taw
MN-19,Uvs
MN-12,Hovd
MN-10,Govi-Altay
MN-09,Dzabkhan
MN-03,Bayan-Olgiy
MN-02,Bayanhongor
MN-20,Ulaanbaatar
MN-18,Central Aimak
MN-17,Suhbaatar
MN-16,Selenge
MN-15,OEvoerhangay
MN-14,OEmnoegovi
MN-13,Hovsgol
MN-11,Hentiy
MN-08,Middle Govi
MN-07,East Gobi Aymag
MN-06,East Aimak
MN-21,Bulgan
MN-01,Arhangay
MN-23,Darhan Uul
MN-24,Govi-Sumber
MN-25,Orhon
MP-100,Rota
MP-110,Saipan
MP-120,Tinian
MP-085,Northern Islands
MQ-MQ,Martinique
MR-06,Trarza
MR-11,Tiris Zemmour
MR-09,Tagant
MR-12,Inchiri
MR-02,Hodh El Gharbi
MR-01,Hodh ech Chargui
MR-10,Guidimaka
MR-04,Gorgol
MR-08,Dakhlet Nouadhibou
MR-05,Brakna
MR-03,Assaba
MR-07,Adrar
MR-13,Nouakchott Ouest
MR-14,Nouakchott Nord
MR-15,Nouakchott Sud
MS-03,Saint Peter
MS-02,Saint Georges
MS-01,Saint Anthony
MT-01,Attard
MT-02,Balzan
MT-03,Il-Birgu
MT-04,Birkirkara
MT-05,Birzebbuga
MT-06,Bormla
MT-07,Dingli
MT-08,Il-Fgura
MT-09,Il-Furjana
MT-10,Il-Fontana
MT-11,Ghajnsielem
MT-12,L-Gharb
MT-13,Hal Gharghur
MT-14,L-Ghasri
MT-15,Hal Ghaxaq
MT-16,Il-Gudja
MT-17,Il-Gzira
MT-18,Il-Hamrun
MT-19,L-Iklin
MT-20,L-Imdina
MT-21,L-Imgarr
MT-22,L-Imqabba
MT-23,L-Imsida
MT-24,L-Imtarfa
MT-25,L-Isla
MT-26,Il-Kalkara
MT-27,Ta' Kercem
MT-28,Kirkop
