iso_code,name
SI-J7,Novo Mesto
SI-84,Nova Gorica
SI-80,Murska Sobota
SI-79,Mozirje
SI-73,Metlika
SI-J2,Maribor
SI-64,Logatec
SI-I6,Ljutomer
SI-I5,Litija
SI-I3,Lenart
SI-57,Lasko
SI-54,Krsko
SI-52,Kranj
SI-50,Koper-Capodistria
SI-H7,Kocevje
SI-H6,Kamnik
SI-H4,Jesenice
SI-40,Izola-Isola
SI-38,Ilirska Bistrica
SI-36,Idrija
SI-34,Hrastnik
SI-32,Grosuplje
SI-29,Gornja Radgona
SI-25,Dravograd
SI-G7,Domzale
SI-17,Crnomelj
SI-13,Cerknica
SI-11,Celje
SI-08,Brezice
SI-01,Ajdovscina
SI-35,Hrpelje-Kozina
SI-19,Divaca
SI-91,Pivka
SI-I7,Loska Dolina
SI-66,Loski Potok
SI-88,Osilnica
SI-D8,Velike Lasce
SI-C1,Skofljica
SI-37,Ig
SI-09,Brezovica
SI-05,Borovnica
SI-E1,Vipava
SI-49,Komen
SI-J5,Miren-Kostanjevica
SI-07,Brda
SI-44,Kanal
SI-F2,Ziri
SI-14,Cerkno
SI-F1,Zelezniki
SI-27,Gorenja Vas-Poljane
SI-G4,Dobrova-Horjul-Polhov Gradec
SI-46,Kobarid
SI-06,Bovec
SI-04,Bohinj
SI-03,Bled
SI-82,Naklo
SI-53,Kranjska Gora
SI-K5,Preddvor
SI-12,Cerklje na Gorenjskem
SI-B2,Sencur
SI-E3,Vodice
SI-71,Medvode
SI-72,Menges
SI-22,Dol pri Ljubljani
SI-77,Moravce
SI-30,Gornji Grad
SI-I9,Luce
SI-K8,Ravne na Koroskem
SI-74,Mezica
SI-81,Muta
SI-E6,Vuzenica
SI-16,Crna na Koroskem
SI-62,Ljubno
SI-C7,Sostanj
SI-C6,Smartno ob Paki
SI-68,Lukovica
SI-99,Radece
SI-39,Ivancna Gorica
SI-20,Dobrepolje
SI-B1,Semic
SI-B4,Sentjernej
SI-B8,Skocjan
SI-C9,Store
SI-N3,Vojnik
