name,iso_code,latitude,longitude
"Kafr ash Shaykh",EG-21,NULL,NULL
"Matruh",EG-22,NULL,NULL
"Qina",EG-23,NULL,NULL
"Shamal Sina'",EG-27,30.3877,33.815547
"Suhaj",EG-24,NULL,NULL
"Andalucia",ES-51,NULL,NULL
"Aragon",ES-52,NULL,NULL
"Asturias",ES-34,NULL,NULL
"Canarias",ES-53,NULL,NULL
"Cantabria",ES-39,NULL,NULL
"Castilla y Leon",ES-55,NULL,NULL
"Castilla-La Mancha",ES-54,NULL,NULL
"Catalonia",ES-56,NULL,NULL
"Comunidad Valenciana",ES-60,NULL,NULL
"Extremadura",ES-57,NULL,NULL
"Galicia",ES-58,NULL,NULL
"Islas Baleares",ES-07,NULL,NULL
"La Rioja",ES-27,NULL,NULL
"Madrid",ES-29,NULL,NULL
"Murcia",ES-31,NULL,NULL
"Navarra",ES-32,NULL,NULL
"Pais Vasco",ES-59,NULL,NULL
"Addis Abeba",ET-10,NULL,NULL
"Adis Abeba",ET-44,9.022736,38.746799
"Afar",ET-14,NULL,NULL
"Amara",ET-46,8.8,34.733333
"Amhara",ET-02,NULL,NULL
"Benishangul",ET-13,NULL,NULL
"Binshangul Gumuz",ET-47,NULL,NULL
"Dire Dawa",ET-48,9.589229,41.87019
"Gambela Hizboch",ET-49,NULL,NULL
"Gambella",ET-08,8.128333,34.562778
"Hareri Hizb",ET-50,NULL,NULL
"Oromiya",ET-51,NULL,NULL
"Somali",ET-07,NULL,NULL
"Southern",ET-11,NULL,NULL
"Sumale",ET-52,NULL,NULL
"Tigray",ET-12,13.666667,39.683333
"YeDebub Biheroch Bihereseboch na Hizboch",ET-54,NULL,NULL
"Eastern Finland",FI-14,NULL,NULL
"Lapland",FI-06,NULL,NULL
"Oulu",FI-08,NULL,NULL
"Southern Finland",FI-13,NULL,NULL
"Western Finland",FI-15,NULL,NULL
"Central",FJ-01,NULL,NULL
"Eastern",FJ-02,NULL,NULL
"Northern",FJ-03,NULL,NULL
"Rotuma",FJ-04,-12.5,177.083333
"Western",FJ-05,NULL,NULL
"Chuuk",FM-03,NULL,NULL
"Kosrae",FM-01,NULL,NULL
"Pohnpei",FM-02,NULL,NULL
"Yap",FM-04,NULL,NULL
"Alsace",FR-C1,NULL,NULL
"Aquitaine",FR-97,NULL,NULL
"Auvergne",FR-98,NULL,NULL
"Basse-Normandie",FR-99,NULL,NULL
"Bourgogne",FR-A1,NULL,NULL
"Bretagne",FR-A2,NULL,NULL
"Centre",FR-A3,NULL,NULL
"Champagne-Ardenne",FR-A4,NULL,NULL
"Corse",FR-A5,NULL,NULL
"Franche-Comte",FR-A6,NULL,NULL
"Haute-Normandie",FR-A7,NULL,NULL
"Ile-de-France",FR-A8,NULL,NULL
"Languedoc-Roussillon",FR-A9,NULL,NULL
"Limousin",FR-B1,NULL,NULL
"Lorraine",FR-B2,NULL,NULL
"Midi-Pyrenees",FR-B3,NULL,NULL
"Nord-Pas-de-Calais",FR-B4,NULL,NULL
"Pays de la Loire",FR-B5,NULL,NULL
"Picardie",FR-B6,NULL,NULL
"Poitou-Charentes",FR-B7,NULL,NULL
"Provence-Alpes-Cote d'Azur",FR-B8,NULL,NULL
"Rhone-Alpes",FR-B9,NULL,NULL
"Estuaire",GA-01,NULL,NULL
