name,iso_code,latitude,longitude
"Al Jahra",KW-05,29.332001,47.695549
"Al Kuwayt",KW-02,NULL,NULL
"Hawalli",KW-03,29.329404,48.00393
"Creek",KY-01,19.75,-79.766667
"Eastern",KY-02,NULL,NULL
"Midland",KY-03,NULL,NULL
"South Town",KY-04,NULL,NULL
"Spot Bay",KY-05,NULL,NULL
"Stake Bay",KY-06,NULL,NULL
"West End",KY-07,NULL,NULL
"Western",KY-08,NULL,NULL
"Almaty",KZ-01,NULL,NULL
"Almaty City",KZ-02,NULL,NULL
"Aqmola",KZ-03,NULL,NULL
"Astana",KZ-05,NULL,NULL
"Atyrau",KZ-06,NULL,NULL
"Bayqonyr",KZ-08,45.865312,63.325149
"East Kazakhstan",KZ-15,NULL,NULL
"Mangghystau",KZ-09,NULL,NULL
"North Kazakhstan",KZ-16,NULL,NULL
"Pavlodar",KZ-11,NULL,NULL
"Qaraghandy",KZ-12,NULL,NULL
"Qostanay",KZ-13,NULL,NULL
"Qyzylorda",KZ-14,NULL,NULL
"South Kazakhstan",KZ-10,NULL,NULL
"West Kazakhstan",KZ-07,NULL,NULL
"Zhambyl",KZ-17,NULL,NULL
"Attapu",LA-01,NULL,NULL
"Champasak",LA-02,NULL,NULL
"Houaphan",LA-03,NULL,NULL
"Khammouan",LA-04,NULL,NULL
"Louang Namtha",LA-05,NULL,NULL
"Louangphrabang",LA-17,NULL,NULL
"Oudomxai",LA-07,NULL,NULL
"Phongsali",LA-08,NULL,NULL
"Saravan",LA-09,NULL,NULL
"Savannakhet",LA-10,NULL,NULL
"Vientiane",LA-11,NULL,NULL
"Xaignabouri",LA-13,NULL,NULL
"Xiangkhoang",LA-14,NULL,NULL
"Beqaa",LB-01,NULL,NULL
"Beyrouth",LB-04,NULL,NULL
"Liban-Nord",LB-03,NULL,NULL
"Liban-Sud",LB-06,NULL,NULL
"Mont-Liban",LB-05,NULL,NULL
"Nabatiye",LB-07,NULL,NULL
"Anse-la-Raye",LC-01,NULL,NULL
