name,iso_code,latitude,longitude
"Islamabad",PK-08,NULL,NULL
"North-West Frontier",PK-03,NULL,NULL
"Northern Areas",PK-07,35.806421,75.190543
"Punjab",PK-04,NULL,NULL
"Sindh",PK-05,NULL,NULL
"Biala Podlaska",PL-23,NULL,NULL
"Bialystok",PL-24,NULL,NULL
"Bielsko",PL-25,NULL,NULL
"Bydgoszcz",PL-26,NULL,NULL
"Chelm",PL-27,NULL,NULL
"Ciechanow",PL-28,NULL,NULL
"Czestochowa",PL-29,NULL,NULL
"Dolnoslaskie",PL-72,NULL,NULL
"Elblag",PL-30,NULL,NULL
"Gdansk",PL-31,NULL,NULL
"Gorzow",PL-32,NULL,NULL
"Jelenia Gora",PL-33,NULL,NULL
"Kalisz",PL-34,NULL,NULL
"Katowice",PL-35,NULL,NULL
"Kielce",PL-36,NULL,NULL
"Konin",PL-37,NULL,NULL
"Koszalin",PL-38,54.189998,16.18
"Krakow",PL-39,NULL,NULL
"Krosno",PL-40,NULL,NULL
"Kujawsko-Pomorskie",PL-73,NULL,NULL
"Legnica",PL-41,NULL,NULL
"Leszno",PL-42,NULL,NULL
"Lodz",PL-43,NULL,NULL
"Lodzkie",PL-74,NULL,NULL
"Lomza",PL-44,NULL,NULL
"Lubelskie",PL-75,NULL,NULL
"Lublin",PL-45,NULL,NULL
"Lubuskie",PL-76,52.242405,15.482204
"Malopolskie",PL-77,NULL,NULL
"Mazowieckie",PL-78,52.247862,21.195099
"Nowy Sacz",PL-46,NULL,NULL
"Olsztyn",PL-47,NULL,NULL
"Opole",PL-48,NULL,NULL
"Opolskie",PL-79,NULL,NULL
"Ostroleka",PL-49,NULL,NULL
"Pila",PL-50,NULL,NULL
"Piotrkow",PL-51,NULL,NULL
"Plock",PL-52,NULL,NULL
"Podkarpackie",PL-80,49.907897,22.348303
"Podlaskie",PL-81,NULL,NULL
"Pomorskie",PL-82,NULL,NULL
"Poznan",PL-53,NULL,NULL
"Przemysl",PL-54,NULL,NULL
"Radom",PL-55,NULL,NULL
"Rzeszow",PL-56,NULL,NULL
"Siedlce",PL-57,NULL,NULL
"Sieradz",PL-58,NULL,NULL
"Skierniewice",PL-59,NULL,NULL
"Slaskie",PL-83,NULL,NULL
"Slupsk",PL-60,NULL,NULL
"Suwalki",PL-61,NULL,NULL
"Swietokrzyskie",PL-84,NULL,NULL
"Szczecin",PL-62,53.43,14.529999
"Tarnobrzeg",PL-63,NULL,NULL
"Tarnow",PL-64,NULL,NULL
"Torun",PL-65,NULL,NULL
"Walbrzych",PL-66,NULL,NULL
"Warminsko-Mazurskie",PL-85,NULL,NULL
"Warszawa",PL-67,NULL,NULL
"Wielkopolskie",PL-86,NULL,NULL
"Wloclawek",PL-68,NULL,NULL
"Wroclaw",PL-69,NULL,NULL
"Zachodniopomorskie",PL-87,NULL,NULL
"Zamosc",PL-70,NULL,NULL
"Zielona Gora",PL-71,NULL,NULL
"Aveiro",PT-02,NULL,NULL
"Azores",PT-23,NULL,NULL
"Beja",PT-03,NULL,NULL
"Braga",PT-04,NULL,NULL
"Braganca",PT-05,NULL,NULL
"Castelo Branco",PT-06,NULL,NULL
