name,iso_code,latitude,longitude
"Saint George",VC-04,NULL,NULL
"Saint Patrick",VC-05,NULL,NULL
"Amazonas",VE-01,NULL,NULL
"Anzoategui",VE-02,NULL,NULL
"Apure",VE-03,NULL,NULL
"Aragua",VE-04,NULL,NULL
"Barinas",VE-05,NULL,NULL
"Bolivar",VE-06,NULL,NULL
"Carabobo",VE-07,NULL,NULL
"Cojedes",VE-08,NULL,NULL
"Delta Amacuro",VE-09,8.837463,-61.156217
"Dependencias Federales",VE-24,NULL,NULL
"Distrito Federal",VE-25,NULL,NULL
"Falcon",VE-11,NULL,NULL
"Guarico",VE-12,NULL,NULL
"Lara",VE-13,NULL,NULL
"Merida",VE-14,NULL,NULL
"Miranda",VE-15,NULL,NULL
"Monagas",VE-16,NULL,NULL
"Nueva Esparta",VE-17,NULL,NULL
"Portuguesa",VE-18,NULL,NULL
"Sucre",VE-19,NULL,NULL
"Tachira",VE-20,NULL,NULL
"Trujillo",VE-21,NULL,NULL
"Vargas",VE-26,NULL,NULL
"Yaracuy",VE-22,NULL,NULL
"Zulia",VE-23,NULL,NULL
"An Giang",VN-43,10.585202,105.163588
"Ba Ria-Vung Tau",VN-53,10.575822,107.304838
"Bac Thai",VN-02,NULL,NULL
"Ben Tre",VN-03,NULL,NULL
"Binh Dinh",VN-54,NULL,NULL
"Binh Thuan",VN-55,10.794628,108.262245
"Can Tho",VN-56,9.981018,105.58881
"Cao Bang",VN-05,22.718129,106.043478
"Dac Lac",VN-44,NULL,NULL
"Dong Nai",VN-45,NULL,NULL
"Dong Thap",VN-46,NULL,NULL
"Gia Lai",VN-57,13.871016,108.173305
"Ha Bac",VN-11,NULL,NULL
"Ha Giang",VN-58,NULL,NULL
"Ha Noi",VN-51,21.006875,105.82513
"Ha Tay",VN-59,20.917772,105.6389
"Ha Tinh",VN-60,NULL,NULL
"Hai Hung",VN-12,NULL,NULL
"Hai Phong",VN-13,NULL,NULL
"Ho Chi Minh",VN-52,10.758,106.6534
"Hoa Binh",VN-61,20.717854,105.31692
"Khanh Hoa",VN-62,12.3725,109.084479
"Kien Giang",VN-47,9.971251,104.684084
"Kon Tum",VN-63,NULL,NULL
"Lai Chau",VN-22,NULL,NULL
"Lam Dong",VN-23,NULL,NULL
"Lang Son",VN-39,NULL,NULL
"Lao Cai",VN-64,22.261412,104.067375
"Long An",VN-24,10.724731,106.13171
"Minh Hai",VN-48,NULL,NULL
"Nam Ha",VN-65,NULL,NULL
"Nghe An",VN-66,NULL,NULL
"Ninh Binh",VN-67,NULL,NULL
"Ninh Thuan",VN-68,11.774863,108.922393
"Phu Yen",VN-69,NULL,NULL
"Quang Binh",VN-70,17.488577,106.297138
"Quang Nam-Da Nang",VN-29,NULL,NULL
"Quang Ngai",VN-71,NULL,NULL
"Quang Ninh",VN-30,21.190077,107.257105
"Quang Tri",VN-72,16.740169,106.951332
"Soc Trang",VN-73,9.58194,105.917801
"Son La",VN-32,NULL,NULL
"Song Be",VN-49,NULL,NULL
"Tay Ninh",VN-33,11.363446,106.15206
"Thai Binh",VN-35,NULL,NULL
"Thanh Hoa",VN-34,NULL,NULL
"Thua Thien",VN-74,NULL,NULL
"Tien Giang",VN-37,NULL,NULL
"Tra Vinh",VN-75,9.823053,106.318525
"Tuyen Quang",VN-76,22.064272,105.20504
"Vinh Long",VN-77,10.110073,105.98819
"Vinh Phu",VN-50,9.934227,106.3339
"Yen Bai",VN-78,NULL,NULL
"Ambrym",VU-05,NULL,NULL
"Aoba",VU-06,NULL,NULL
"Efate",VU-08,NULL,NULL
"Epi",VU-09,-16.75,168.333333
"Malakula",VU-10,NULL,NULL
"Malampa",VU-16,NULL,NULL
"Paama",VU-11,-16.476085,168.236923
"Penama",VU-17,NULL,NULL
"Pentecote",VU-12,NULL,NULL
"Sanma",VU-13,NULL,NULL
"Shefa",VU-18,NULL,NULL
"Shepherd",VU-14,NULL,NULL
"Tafea",VU-15,NULL,NULL
"Torba",VU-07,NULL,NULL
"Aiga-i-le-Tai",WS-02,NULL,NULL
"Atua",WS-03,NULL,NULL
"Fa",WS-04,NULL,NULL
"Gaga",WS-05,NULL,NULL
"Gagaifomauga",WS-07,NULL,NULL
"Palauli",WS-08,NULL,NULL
"Satupa",WS-09,NULL,NULL
"Tuamasaga",WS-10,NULL,NULL
"Va",WS-06,37.826274,-81.159709
"Vaisigano",WS-11,NULL,NULL
"Abyan",YE-01,NULL,NULL
"Al Bayda'",YE-20,14.244985,48.794943
"Al Hudaydah",YE-08,14.79497,42.9464
"Al Jawf",YE-21,18.22,43.18
"Al Mahrah",YE-03,NULL,NULL
"Al Mahwit",YE-10,NULL,NULL
"Dhamar",YE-11,NULL,NULL
"Hadramawt",YE-04,NULL,NULL
"Hajjah",YE-22,15.6975,43.5991
"Ibb",YE-23,13.9644,44.182
"Lahij",YE-24,13.0541,44.8841
"Ma'rib",YE-14,NULL,NULL
"Sa",YE-15,16.183333,43.366667
"San",YE-16,NULL,NULL
"Shabwah",YE-05,NULL,NULL
"Ta",YE-25,NULL,NULL
"Eastern Cape",ZA-05,NULL,NULL
"Free State",ZA-03,NULL,NULL
"Gauteng",ZA-06,NULL,NULL
"KwaZulu-Natal",ZA-02,NULL,NULL
"Limpopo",ZA-09,NULL,NULL
"Mpumalanga",ZA-07,NULL,NULL
"North-West",ZA-10,NULL,NULL
"Northern Cape",ZA-08,NULL,NULL
"Western Cape",ZA-11,NULL,NULL
"Central",ZM-02,NULL,NULL
"Copperbelt",ZM-08,-13.091666,27.958333
"Eastern",ZM-03,-12.64489,31.858586
"Luapula",ZM-04,NULL,NULL
"Lusaka",ZM-09,NULL,NULL
"North-Western",ZM-06,-12.741667,24.733333
"Northern",ZM-05,NULL,NULL
"Southern",ZM-07,-16.640605,26.941666
"Western",ZM-01,NULL,NULL
"Bulawayo",ZW-09,-20.1678,28.5813
Harare,ZW-10,-17.83115,31.06725
"Manicaland",ZW-01,-19.066666,32.208333
"Mashonaland Central",ZW-03,-16.602664,31.248373
"Mashonaland East",ZW-04,NULL,NULL
"Mashonaland West",ZW-05,-17.488173,29.532475
"Masvingo",ZW-08,-20.879417,31.308333
"Matabeleland North",ZW-06,NULL,NULL
"Matabeleland South",ZW-07,-21.006932,29.075
"Midlands",ZW-02,-19.15,29.65
